scenario_id,trial_number,fund_a,fund_b
e25b48e9-4356-4c4c-8b05-94132af9dac1,147,27,72
e25b48e9-4356-4c4c-8b05-94132af9dac1,148,26,73
e25b48e9-4356-4c4c-8b05-94132af9dac1,149,20,79
e25b48e9-4356-4c4c-8b05-94132af9dac1,150,26,73
e25b48e9-4356-4c4c-8b05-94132af9dac1,151,22,77
e25b48e9-4356-4c4c-8b05-94132af9dac1,152,21,78
e25b48e9-4356-4c4c-8b05-94132af9dac1,153,16,83
e25b48e9-4356-4c4c-8b05-94132af9dac1,154,16,83
e25b48e9-4356-4c4c-8b05-94132af9dac1,155,20,79
e25b48e9-4356-4c4c-8b05-94132af9dac1,156,12,87
e25b48e9-4356-4c4c-8b05-94132af9dac1,157,16,83
e25b48e9-4356-4c4c-8b05-94132af9dac1,158,24,75
e25b48e9-4356-4c4c-8b05-94132af9dac1,159,21,78
e25b48e9-4356-4c4c-8b05-94132af9dac1,160,17,82
e25b48e9-4356-4c4c-8b05-94132af9dac1,161,18,81
e25b48e9-4356-4c4c-8b05-94132af9dac1,162,21,78
e25b48e9-4356-4c4c-8b05-94132af9dac1,163,22,77
e25b48e9-4356-4c4c-8b05-94132af9dac1,164,25,74
e25b48e9-4356-4c4c-8b05-94132af9dac1,165,27,72
e25b48e9-4356-4c4c-8b05-94132af9dac1,166,31,68
e25b48e9-4356-4c4c-8b05-94132af9dac1,167,34,65
e25b48e9-4356-4c4c-8b05-94132af9dac1,168,35,64
e25b48e9-4356-4c4c-8b05-94132af9dac1,169,33,66
e25b48e9-4356-4c4c-8b05-94132af9dac1,170,32,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,171,31,68
e25b48e9-4356-4c4c-8b05-94132af9dac1,172,32,67
e25b48e9-4356-4c4c-8b05-94132af9dac1,173,34,65
e25b48e9-4356-4c4c-8b05-94132af9dac1,174,35,64
e25b48e9-4356-4c4c-8b05-94132af9dac1,175,42,57
e25b48e9-4356-4c4c-8b05-94132af9dac1,176,47,52
e25b48e9-4356-4c4c-8b05-94132af9dac1,177,54,45
e25b48e9-4356-4c4c-8b05-94132af9dac1,178,55,44
e25b48e9-4356-4c4c-8b05-94132af9dac1,179,63,36
e25b48e9-4356-4c4c-8b05-94132af9dac1,180,67,32
e25b48e9-4356-4c4c-8b05-94132af9dac1,181,56,43
e25b48e9-4356-4c4c-8b05-94132af9dac1,182,57,42
e25b48e9-4356-4c4c-8b05-94132af9dac1,183,59,40
e25b48e9-4356-4c4c-8b05-94132af9dac1,184,62,37
e25b48e9-4356-4c4c-8b05-94132af9dac1,185,59,40
e25b48e9-4356-4c4c-8b05-94132af9dac1,186,51,48
e25b48e9-4356-4c4c-8b05-94132af9dac1,187,62,37
e25b48e9-4356-4c4c-8b05-94132af9dac1,188,54,45
e25b48e9-4356-4c4c-8b05-94132af9dac1,189,65,34
e25b48e9-4356-4c4c-8b05-94132af9dac1,190,70,29
e25b48e9-4356-4c4c-8b05-94132af9dac1,191,71,28
e25b48e9-4356-4c4c-8b05-94132af9dac1,192,71,28
e25b48e9-4356-4c4c-8b05-94132af9dac1,193,72,27
e25b48e9-4356-4c4c-8b05-94132af9dac1,194,60,39
e25b48e9-4356-4c4c-8b05-94132af9dac1,195,48,51
e25b48e9-4356-4c4c-8b05-94132af9dac1,196,35,64
e25b48e9-4356-4c4c-8b05-94132af9dac1,197,35,64
e25b48e9-4356-4c4c-8b05-94132af9dac1,198,38,61
e25b48e9-4356-4c4c-8b05-94132af9dac1,199,45,54
e25b48e9-4356-4c4c-8b05-94132af9dac1,200,48,51
e25b48e9-4356-4c4c-8b05-94132af9dac1,201,40,59
e25b48e9-4356-4c4c-8b05-94132af9dac1,202,47,52
e25b48e9-4356-4c4c-8b05-94132af9dac1,203,46,53
e25b48e9-4356-4c4c-8b05-94132af9dac1,204,43,56
e25b48e9-4356-4c4c-8b05-94132af9dac1,205,22,77
e25b48e9-4356-4c4c-8b05-94132af9dac1,206,23,76
e25b48e9-4356-4c4c-8b05-94132af9dac1,207,20,79
e25b48e9-4356-4c4c-8b05-94132af9dac1,208,19,80
e25b48e9-4356-4c4c-8b05-94132af9dac1,209,23,76
e25b48e9-4356-4c4c-8b05-94132af9dac1,210,21,78
e25b48e9-4356-4c4c-8b05-94132af9dac1,211,20,79
e25b48e9-4356-4c4c-8b05-94132af9dac1,212,19,80
e25b48e9-4356-4c4c-8b05-94132af9dac1,213,15,84
e25b48e9-4356-4c4c-8b05-94132af9dac1,214,25,74
e25b48e9-4356-4c4c-8b05-94132af9dac1,215,27,72
