scenario_id,fund_return_id,trial_number,return_a,return_b
e25b48e9-4356-4c4c-8b05-94132af9dac1,bf093280-77bd-4f95-9769-52245c9494df,20,0.24817573037511734,0.5531067818377479
e25b48e9-4356-4c4c-8b05-94132af9dac1,467e8cea-a7f9-4ee5-be80-bf9d14c2c5a6,21,0.24658146937582565,0.4150940176076324
e25b48e9-4356-4c4c-8b05-94132af9dac1,a9a7400e-1d24-4b06-b0f0-1b5ab418d3d0,22,0.2445878483008448,0.40723576160634617
e25b48e9-4356-4c4c-8b05-94132af9dac1,6df9a33a-ebca-4faa-a231-ae404a1bf586,23,0.24219478703317276,0.4089113090644656
e25b48e9-4356-4c4c-8b05-94132af9dac1,8424ac5e-f11b-4694-8c9e-2eaca51ec8e5,24,0.2391042108231015,0.43819637235852005
e25b48e9-4356-4c4c-8b05-94132af9dac1,17ce65f4-7a29-44e4-bb37-8b0b2c3beb4b,25,0.2360133264639569,0.36298923382375137
e25b48e9-4356-4c4c-8b05-94132af9dac1,b1b005b4-b3e6-4a41-baa8-7ec2ddecef59,26,0.23342006748023317,0.33609408967938514
e25b48e9-4356-4c4c-8b05-94132af9dac1,4d4f059c-6c57-4e6a-86a2-1631c661ef76,27,0.23042844179469704,0.41572292475564193
e25b48e9-4356-4c4c-8b05-94132af9dac1,36fa3b73-ced7-45ae-8a4c-55bf3a16ae39,28,0.22763653650127674,0.2955738687147489
e25b48e9-4356-4c4c-8b05-94132af9dac1,f33345f1-d9d5-4657-b79e-ad6f1d5fdc3a,29,0.2241475233422083,0.22952583170475
e25b48e9-4356-4c4c-8b05-94132af9dac1,ad213799-5a96-49f1-b804-f41852201857,30,0.22175350723621082,0.1117656765488444
e25b48e9-4356-4c4c-8b05-94132af9dac1,564c31f9-0296-4b8e-aa0d-207798ee4eb3,31,0.21896160194279052,-0.04574570347447486
e25b48e9-4356-4c4c-8b05-94132af9dac1,5f56be01-01f7-480e-85d4-5739b57da4b1,32,0.2162690049532444,0.018285489937115318
e25b48e9-4356-4c4c-8b05-94132af9dac1,f3e33186-7efb-4dc0-b0ba-b53879cd8af4,33,0.21327767756565894,-0.15005240443852758
e25b48e9-4356-4c4c-8b05-94132af9dac1,857f2acf-6d90-4244-8786-5640f29c4365,34,0.21048549386089827,-0.03206339894713656
e25b48e9-4356-4c4c-8b05-94132af9dac1,492912b1-655e-44d5-898f-1065962e9e76,35,0.2077923597210366,-0.02018406107387801
e25b48e9-4356-4c4c-8b05-94132af9dac1,d2536725-e83c-45ce-9dd5-f20c57f2bf7d,36,0.20410323843254058,-0.09802331770714569
e25b48e9-4356-4c4c-8b05-94132af9dac1,7cdc2a9d-e47e-40fc-a6eb-714c08bdc72e,37,0.20081195734846777,-0.1359199560945962
e25b48e9-4356-4c4c-8b05-94132af9dac1,9f915abb-9594-4713-a4d3-c78d63ba86b7,38,0.19781913787595992,-0.22114837073743865
e25b48e9-4356-4c4c-8b05-94132af9dac1,37b02242-1d81-41fd-a32d-04811fa8a844,39,0.19492622349369948,-0.2615638396875449
e25b48e9-4356-4c4c-8b05-94132af9dac1,3dc8f49d-60cf-4d0d-b8ac-20fdb2852d59,40,0.19163494240962667,-0.19267165944208675
e25b48e9-4356-4c4c-8b05-94132af9dac1,19657845-23d0-41f3-829b-25ccf779ef51,41,0.18854251638292518,-0.12402020600405361
e25b48e9-4356-4c4c-8b05-94132af9dac1,23947be9-9c80-42f8-b92c-a55c099e3b3b,42,0.18545039881275507,-0.15144200261440255
e25b48e9-4356-4c4c-8b05-94132af9dac1,afac0af8-9f53-4919-b724-2e372500d705,43,0.18215813265749087,-0.12366522429271684
e25b48e9-4356-4c4c-8b05-94132af9dac1,ba634272-97f6-4e97-8721-2896ab0b2289,44,0.1785671063546079,0.0516363401555741
e25b48e9-4356-4c4c-8b05-94132af9dac1,bade0314-5790-4d4a-8526-66d19b524b88,45,0.1747773341913649,-0.020906297195714893
e25b48e9-4356-4c4c-8b05-94132af9dac1,f4d4340f-6999-4588-ae3b-4872817ed8f2,46,0.1722821984091189,-0.04463477618633376
e25b48e9-4356-4c4c-8b05-94132af9dac1,bf9e7495-03f9-48f3-b4cf-4cda4d93a5eb,47,0.16988674861608963,-0.0949751070890342
e25b48e9-4356-4c4c-8b05-94132af9dac1,15eaa2c5-96a7-4200-8e04-00d3632885ab,48,0.1668936305479576,-0.10029987265286128
e25b48e9-4356-4c4c-8b05-94132af9dac1,b9daf87e-26ee-4e05-b737-d79203e324bc,49,0.16409949640797503,-0.12336184110299671
e25b48e9-4356-4c4c-8b05-94132af9dac1,3c47d772-6437-42e6-9fce-1f6c77425dae,50,0.16120542722568673,-0.0784111799996475
e25b48e9-4356-4c4c-8b05-94132af9dac1,fe31dc89-ddf1-4735-a5ac-4728508ce51d,51,0.1578142410513665,-0.13296589079177257
e25b48e9-4356-4c4c-8b05-94132af9dac1,e0c9e253-c580-457a-a382-6363ff6340c2,52,0.15492074938431316,-0.1871412911651039
e25b48e9-4356-4c4c-8b05-94132af9dac1,e13d15cf-37ca-4f06-b829-a67c4131e2c4,53,0.1521263363882651,-0.1498436686257823
e25b48e9-4356-4c4c-8b05-94132af9dac1,4fbd6f61-4c5b-4fec-aa9e-7036e2fd86c6,54,0.14893399528929185,-0.18502247962723137
e25b48e9-4356-4c4c-8b05-94132af9dac1,8faf295f-54bd-4e16-a825-f9ddad486333,55,0.14614069738367902,-0.18734449851957247
e25b48e9-4356-4c4c-8b05-94132af9dac1,cf3e513c-9e48-4832-a548-0229e8ad1ab5,56,0.14334767811163623,-0.17878647154468555
e25b48e9-4356-4c4c-8b05-94132af9dac1,9a487c2b-96b5-4e10-a246-173ae9e5a474,57,0.14055465883959345,-0.1404985049347508
e25b48e9-4356-4c4c-8b05-94132af9dac1,1dd5f901-9e4d-49fe-9535-04b7917ed5c9,58,0.13776163956755066,-0.18724312018009998
e25b48e9-4356-4c4c-8b05-94132af9dac1,c93d197f-e5f4-40bb-83b6-124a6b9171f0,59,0.1356669801811564,-0.16825687829087177
e25b48e9-4356-4c4c-8b05-94132af9dac1,690d3a26-c48f-4964-acf8-123de854f882,60,0.1328753532435606,-0.19254738578075103
e25b48e9-4356-4c4c-8b05-94132af9dac1,60584878-8007-42a1-84e6-8e23dd042f5f,61,0.1303824567040041,-0.16591734753171694
e25b48e9-4356-4c4c-8b05-94132af9dac1,fe93555f-1ca7-4fc8-852a-e6700b470631,62,0.12769039665054494,-0.12687787171412906
